# awakened.txt - ПРОБУЖДЕННЫЕ ИМЕНА МОНСТРОВ
# Формат: Семейство|Стихия|Пробужденное имя
# Стихии: water, fire, wind, light, dark

# === 2★ МОНСТРЫ ===
Ninja|fire|Garo
Ninja|wind|Orochi
Ninja|light|Gin
Ninja|dark|Han

Pierret|water|Julie
Pierret|fire|Clara
Pierret|wind|Sophia
Pierret|light|Eva
Pierret|dark|Luna

Phantom Thief|water|Luer
Phantom Thief|fire|Jean
Phantom Thief|wind|Julien
Phantom Thief|light|Louis
Phantom Thief|dark|Guillaume

Epikion Priest|water|Rina
Epikion Priest|fire|Chloe
Epikion Priest|wind|Michelle
Epikion Priest|light|Iona
Epikion Priest|dark|Rasheed

Magical Archer|water|Sharron
Magical Archer|fire|Cassandra
Magical Archer|wind|Ardella
Magical Archer|light|Chris
Magical Archer|dark|Bethony

Rakshasa|water|Su
Rakshasa|fire|Hwa
Rakshasa|wind|Yen
Rakshasa|light|Pang
Rakshasa|dark|Ran

Death Knight|water|Fedora
Death Knight|fire|Arnold
Death Knight|wind|Briand
Death Knight|light|Conrad
Death Knight|dark|Dias

Lich|water|Rigel
Lich|fire|Antares
Lich|wind|Fuco
Lich|light|Halphas
Lich|dark|Grego

Samurai|water|Kaz
Samurai|fire|Jun
Samurai|wind|Kaito
Samurai|light|Tosi
Samurai|dark|Sige

Kung Fu Girl|water|Xiao Lin
Kung Fu Girl|fire|Hong Hua
Kung Fu Girl|wind|Ling Ling
Kung Fu Girl|light|Liu Mei
Kung Fu Girl|dark|Fei

Brownie Magician|water|Orion
Brownie Magician|fire|Draco
Brownie Magician|wind|Aquila
Brownie Magician|light|Gemini
Brownie Magician|dark|Korona

Kobold Bomber|water|Malaka
Kobold Bomber|fire|Zibrolta
Kobold Bomber|wind|Taurus
Kobold Bomber|light|Dover
Kobold Bomber|dark|Bering

Taoist|water|Gildong
Taoist|fire|Gunpyeong
Taoist|wind|Woochi
Taoist|light|Hwadam
Taoist|dark|Woonhak

Cyborg|water|Lorenza
Cyborg|fire|Carmella
Cyborg|wind|Eliza
Cyborg|light|Lucia
Cyborg|dark|Roberta

Barbaric King|water|Aegir
Barbaric King|fire|Surtr
Barbaric King|wind|Hraesvelg
Barbaric King|light|Mimirr
Barbaric King|dark|Hrungnir

Rune Blacksmith|water|Susan
Rune Blacksmith|fire|Miriam
Rune Blacksmith|wind|Celine
Rune Blacksmith|light|Madeleine
Rune Blacksmith|dark|Deborah

Pirate Captain|water|Galleon
Pirate Captain|fire|Carrack
Pirate Captain|wind|Barque
Pirate Captain|light|Brig
Pirate Captain|dark|Frigate

Mermaid|water|Tetra
Mermaid|fire|Platy
Mermaid|wind|Cichlid
Mermaid|light|Molly
Mermaid|dark|Betta

Magic Knight|water|Lapis
Magic Knight|fire|Astar
Magic Knight|wind|Lupinus
Magic Knight|light|Iris
Magic Knight|dark|Lanett

Assassin|water|Stella
Assassin|fire|Lexy
Assassin|wind|Tanya
Assassin|light|Natalie
Assassin|dark|Isabelle

Neostone Fighter|water|Ryan
Neostone Fighter|fire|Trevor
Neostone Fighter|wind|Logan
Neostone Fighter|light|Lucas
Neostone Fighter|dark|Karl

Neostone Agent|water|Emma
Neostone Agent|fire|Lisa
Neostone Agent|wind|Olivia
Neostone Agent|light|Illianna
Neostone Agent|dark|Sylvia

Anubis|water|Avaris
Anubis|fire|Khmun
Anubis|wind|Iunu
Anubis|light|Amarna
Anubis|dark|Thebae

Horus|water|Qebehsenuef
Horus|fire|Duamutef
Horus|wind|Imesety
Horus|light|Wedjat
Horus|dark|Amduat

Jack-o'-lantern|water|Chilling
Jack-o'-lantern|fire|Smokey
Jack-o'-lantern|wind|Windy
Jack-o'-lantern|light|Misty
Jack-o'-lantern|dark|Dusky

# === 5★ МОНСТРЫ ===
Valkyrja|water|Camilla
Valkyrja|fire|Vanessa
Valkyrja|wind|Katarina
Valkyrja|light|Akroma
Valkyrja|dark|Trinity

Dragon|water|Verad
Dragon|fire|Zaiross
Dragon|wind|Jamire
Dragon|light|Zerath
Dragon|dark|Grogen

Phoenix|water|Sigmarus
Phoenix|fire|Perna
Phoenix|wind|Teshar
Phoenix|light|Eludia
Phoenix|dark|Jaara

Chimera|water|Taor
Chimera|fire|Rakan
Chimera|wind|Lagmaron
Chimera|light|Shan
Chimera|dark|Zeratu

Vampire|water|Liesel
Vampire|fire|Verdehile
Vampire|wind|Argen
Vampire|light|Julianne
Vampire|dark|Cadiz

Oracle|water|Praha
Oracle|fire|Juno
Oracle|wind|Seara
Oracle|light|Laima
Oracle|dark|Giana

Gargoyle|water|Tanzaite
Gargoyle|fire|Kunite
Gargoyle|wind|Malite
Gargoyle|light|Phenaka
Gargoyle|dark|Onyx

Choco Knight|water|Ganache
Choco Knight|fire|Pavé
Choco Knight|wind|Praline
Choco Knight|light|Fudge
Choco Knight|dark|Truffle

Occult Girl|water|Anavel
Occult Girl|fire|Rica
Occult Girl|wind|Charlotte
Occult Girl|light|Lora
Occult Girl|dark|Nicki

Dryad|water|Herne
Dryad|fire|Nisha
Dryad|wind|Mellia
Dryad|light|Felleria
Dryad|dark|Hyanes

Dokkaebi Princess and Sapsaree|water|Minji and Sapsaree
Dokkaebi Princess and Sapsaree|fire|Yeji and Sapsaree
Dokkaebi Princess and Sapsaree|wind|Yuna and Sapsaree
Dokkaebi Princess and Sapsaree|light|Eunbee and Sapsaree
Dokkaebi Princess and Sapsaree|dark|Damee and Sapsaree

Dragon Knight|water|Chow
Dragon Knight|fire|Laika
Dragon Knight|wind|Leo
Dragon Knight|light|Jager
Dragon Knight|dark|Ragdoll

Monkey King|water|Shi Hou
Monkey King|fire|Mei Hou Wang
Monkey King|wind|Xing Zhe
Monkey King|light|Qitian Dasheng
Monkey King|dark|Son Zhang Lao

Archangel|water|Ariel
Archangel|fire|Velajuel
Archangel|wind|Eladriel
Archangel|light|Artamiel
Archangel|dark|Fermion

Beast Monk|water|Chandra
Beast Monk|fire|Kumar
Beast Monk|wind|Ritesh
Beast Monk|light|Shazam
Beast Monk|dark|Rahul

Hell Lady|water|Beth
Hell Lady|fire|Raki
Hell Lady|wind|Ethna
Hell Lady|light|Asima
Hell Lady|dark|Craka

Sky Dancer|water|Mihyang
Sky Dancer|fire|Hwahee
Sky Dancer|wind|Chasun
Sky Dancer|light|Yeonhong
Sky Dancer|dark|Wolyung

Pioneer|water|Woosa
Pioneer|fire|Chiwu
Pioneer|wind|Pungbaek
Pioneer|light|Nigong
Pioneer|dark|Woonsa

Polar Queen|water|Alicia
Polar Queen|fire|Brandia
Polar Queen|wind|Tiana
Polar Queen|light|Elenoa
Polar Queen|dark|Lydia

Ifrit|water|Theomars
Ifrit|fire|Tesarion
Ifrit|wind|Akhamamir
Ifrit|light|Elsharion
Ifrit|dark|Veromos

Sea Emperor|water|Poseidon
Sea Emperor|fire|Okeanos
Sea Emperor|wind|Triton
Sea Emperor|light|Pontos
Sea Emperor|dark|Manannan

Desert Queen|water|Bastet
Desert Queen|fire|Sekhmet
Desert Queen|wind|Hathor
Desert Queen|light|Isis
Desert Queen|dark|Nephthys

Fairy King|water|Psamathe
Fairy King|fire|Daphnis
Fairy King|wind|Ganymede
Fairy King|light|Oberon
Fairy King|dark|Nyx

Panda Warrior|water|Mo Long
Panda Warrior|fire|Xiong Fei
Panda Warrior|wind|Feng Yan
Panda Warrior|light|Tian Lang
Panda Warrior|dark|Mi Ying

Unicorn|water|Amelia
Unicorn|fire|Helena
Unicorn|wind|Diana
Unicorn|light|Eleanor
Unicorn|dark|Alexandra

Paladin|water|Josephine
Paladin|fire|Ophilia
Paladin|wind|Louise
Paladin|light|Jeanne
Paladin|dark|Leona

Druid|water|Abellio
Druid|fire|Bellenus
Druid|wind|Taranys
Druid|light|Valantis
Druid|dark|Pater

Lightning Emperor|water|Bolverk
Lightning Emperor|fire|Baleygr
Lightning Emperor|wind|Odin
Lightning Emperor|light|Geldnir
Lightning Emperor|dark|Herteit

Harp Magician|water|Sonnet
Harp Magician|fire|Harmonia
Harp Magician|wind|Triana
Harp Magician|light|Celia
Harp Magician|dark|Vivachel

Cannon Girl|water|Abigail
Cannon Girl|fire|Scarlett
Cannon Girl|wind|Christina
Cannon Girl|light|Eleanor
Cannon Girl|dark|Bella

Demon|water|Belial
Demon|fire|Bael
Demon|wind|Mephisto
Demon|light|Lucifer
Demon|dark|Beelzebub

Beast Rider|water|Barbara
Beast Rider|fire|Masha
Beast Rider|wind|Savannah
Beast Rider|light|Narsha
Beast Rider|dark|Xiana

Art Master|water|Haegang
Art Master|fire|Jeogun
Art Master|wind|Cheongpung
Art Master|light|Hanwul
Art Master|dark|Inosuke

Striker|water|Moore
Striker|fire|Dominic
Striker|wind|Oliver
Striker|light|Max
Striker|dark|Shun

Slayer|water|Kaki
Slayer|fire|Karnal
Slayer|wind|Onyx
Slayer|light|Cichlid
Slayer|dark|Verad

Onmyouji|water|Shizuka
Onmyouji|fire|Ryuda
Onmyouji|wind|Kinki
Onmyouji|light|Seimei
Onmyouji|dark|Amane

Mage|water|Nana
Mage|fire|Coco
Mage|wind|Manon
Mage|light|Mona
Mage|dark|Nora

Sky Surfer|water|Miles
Sky Surfer|fire|John
Sky Surfer|wind|Oliver
Sky Surfer|light|Ellena
Sky Surfer|dark|Sia

Totemist|water|Qinglong
Totemist|fire|Hyeonmu
Totemist|wind|Riley
Totemist|light|Baekho
Totemist|dark|Jujak

Weapon Master|water|Sagar
Weapon Master|fire|Carlos
Weapon Master|wind|Dominic
Weapon Master|light|Lucas
Weapon Master|dark|Karl

Shadow Caster|water|Minato
Shadow Caster|fire|Ren
Shadow Caster|wind|Tenma
Shadow Caster|light|Kuro
Shadow Caster|dark|Haruki

Battle Angel|water|Amber
Battle Angel|fire|Suparna
Battle Angel|wind|Sonia
Battle Angel|light|Aurora
Battle Angel|dark|Nyx

Blade Dancer|water|Katarina
Blade Dancer|fire|Camilla
Blade Dancer|wind|Vanessa
Blade Dancer|light|Trinity
Blade Dancer|dark|Akroma

Devil Maiden|water|Beelzebub
Devil Maiden|fire|Lethe
Devil Maiden|wind|Belial
Devil Maiden|light|Mephisto
Devil Maiden|dark|Lucifer

Hypnomeow|water|Stella
Hypnomeow|fire|Luna
Hypnomeow|wind|Olivia
Hypnomeow|light|Sylvia
Hypnomeow|dark|Isabel

ROBO|water|ROBO-R40
ROBO|fire|ROBO-P27
ROBO|wind|ROBO-G92
ROBO|light|ROBO-E65
ROBO|dark|ROBO-F29

Vermilion Bird Dancer|water|Vermilion Bird Dancer
Vermilion Bird Dancer|fire|Vermilion Bird Dancer
Vermilion Bird Dancer|wind|Vermilion Bird Dancer
Vermilion Bird Dancer|light|Vermilion Bird Dancer
Vermilion Bird Dancer|dark|Vermilion Bird Dancer

Daimon|water|Joker
Daimon|fire|Yato
Daimon|wind|Devil
Daimon|light|Shinigami
Daimon|dark|Oni

Desert Warrior|water|Golem
Desert Warrior|fire|Atziluth
Desert Warrior|wind|Phoenix
Desert Warrior|light|Serpent
Desert Warrior|dark|Dragon

Gladiatrix|water|Valkyrie
Gladiatrix|fire|Amazon
Gladiatrix|wind|Pirate
Gladiatrix|light|Ninja
Gladiatrix|dark|Samurai

Onimusha|water|Suiki
Onimusha|fire|Kaki
Onimusha|wind|Fuuki
Onimusha|light|Kinki
Onimusha|dark|Ongyouki

Poison Master|water|Kyle
Poison Master|fire|Todd
Poison Master|wind|Jarrett
Poison Master|light|Hekerson
Poison Master|dark|Cayde

Mercenary Queen|water|Aria
Mercenary Queen|fire|Elena
Mercenary Queen|wind|Selena
Mercenary Queen|light|Luna
Mercenary Queen|dark|Stella

Steel Commander|water|Steel
Steel Commander|fire|Iron
Steel Commander|wind|Bronze
Steel Commander|light|Silver
Steel Commander|dark|Gold

Jack-o’-lantern|water|Chilling
Jack-o’-lantern|fire|Smokey
Jack-o’-lantern|wind|Windy
Jack-o’-lantern|light|Misty
Jack-o’-lantern|dark|Dusky

Exorcist Association Conjurer|water|Hiroyuki
Exorcist Association Conjurer|fire|Tetsuya
Exorcist Association Conjurer|wind|Kuroshu
Exorcist Association Conjurer|light|Ginjo
Exorcist Association Conjurer|dark|Doburoku

Tomb Warden|water|Mork
Tomb Warden|fire|Rex
Tomb Warden|wind|Gronn
Tomb Warden|light|Ramon
Tomb Warden|dark|Volg

Magic Order Swordsinger|water|Rigna
Magic Order Swordsinger|fire|Reyka
Magic Order Swordsinger|wind|Tirsa
Magic Order Swordsinger|light|Brigitta
Magic Order Swordsinger|dark|Fiona

String Master|water|Songseol
String Master|fire|Hongyeon
String Master|wind|Yeonhwa
String Master|light|Dongbaek
String Master|dark|Mirinae

|water|
|fire|
|wind|
|light|
|dark|

# === КОЛЛАБОРАЦИИ ===
Fairy Queen|light|Fran
Vampire Lord|dark|Eirgar
GingerBrave|wind|GingerBrave
Lollipop Warrior|wind|Thomas
Heihachi Mishima|fire|Heihachi Mishima
Frodo|water|Frodo
Dual Blade|light|Frederic
Altaïr|light|Altaïr
KEN|fire|KEN
Shadow Claw|fire|Bernadotte
Ryomen Sukuna|dark|Ryomen Sukuna
Black Tortoise Champion|wind|Black Tortoise Champion
Gyomei Himejima|wind|Gyomei Himejima
Exorcist Association Arbiter|dark|Hayato
Magical Archer Light|light|Fami
